year,month,contracts,value_amd,share_of_year_count_pct,share_of_year_value_pct,index_vs_even_month_count,index_vs_even_month_value,single_source_contracts,single_source_share_of_count_pct,single_source_value_amd,single_source_share_of_month_value_pct,urgent_contracts,urgent_share_of_count_pct,urgent_value_amd,urgent_share_of_month_value_pct,urgent_open_tender_value_amd,top_buyer_of_month,top_buyer_share_of_month_value_pct,year_contracts,year_value_amd
2024,07,2553,78988121545,7.81,9.56,0.94,1.15,593,23.23,2241893494,2.84,89,3.49,12119287156,15.34,11308630003,City planning Committee of the Republic of Armenia,45.6,32709,825822923836
2024,08,2095,25801973953,6.4,3.12,0.77,0.37,491,23.44,648557379,2.51,84,4.01,5799228030,22.48,5660430730,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,23.71,32709,825822923836
2024,09,2538,57141694627,7.76,6.92,0.93,0.83,720,28.37,5143983319,9,89,3.51,23940892454,41.9,20263713314,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,41.89,32709,825822923836
2024,10,2395,31941875390,7.32,3.87,0.88,0.46,780,32.57,4190882210,13.12,99,4.13,13312398406,41.68,11824075401,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,33.93,32709,825822923836
2024,11,2170,52952175738,6.63,6.41,0.8,0.77,591,27.24,3634626332,6.86,95,4.38,36431318282,68.8,34310856218,Armenian Territorial Development Fund,58.54,32709,825822923836
2024,12,3384,81770890485,10.35,9.9,1.24,1.19,1034,30.56,4258651009,5.21,155,4.58,44152371501,54,42727843721,«Հայաստանի տարածքային զարգացման հիմնադրամ»,49.49,32709,825822923836
2025,01,2987,62607574845,8.81,8.56,1.06,1.03,712,23.84,12610178234,20.14,43,1.44,4361677026,6.97,3806808599,SI “ADMINISTRATION OF THE COUNCIL OF PUBLIC BROADCASTER”,12.04,33899,731059555017
2025,02,3436,203128154518,10.14,27.79,1.22,3.33,973,28.32,5413650472,2.67,227,6.61,143648341320,70.72,142984960982,Armenian Territorial Development Fund,66.08,33899,731059555017
2025,03,3319,40552360500,9.79,5.55,1.17,0.67,941,28.35,2926436330,7.22,90,2.71,7894315686,19.47,7668448151,Armenian Territorial Development Fund,15.54,33899,731059555017
2025,04,2817,49783499817,8.31,6.81,1,0.82,844,29.96,8386499200,16.85,96,3.41,7689081270,15.45,6706766850,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,33.97,33899,731059555017
2025,05,2625,61865541842,7.74,8.46,0.93,1.02,737,28.08,3039843441,4.91,76,2.9,8264568992,13.36,6895250347,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,51.87,33899,731059555017
2025,06,2714,72418610881,8.01,9.91,0.96,1.19,837,30.84,3938022449,5.44,139,5.12,21519200300,29.72,18771040322,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,40.58,33899,731059555017
